
Image Name                     PID Session Name        Session#    Mem Usage
Code.exe                     14936 Console                    1     18,344 K
Code.exe                     15224 Console                    1    103,452 K
Code.exe                      3776 Console                    1     27,732 K
Code.exe                     17520 Console                    1    260,452 K
Code.exe                       636 Console                    1     41,056 K
Code.exe                     11748 Console                    1     36,044 K
Code.exe                      9272 Console                    1    232,768 K
Code.exe                     15088 Console                    1    624,192 K
Code.exe                      6712 Console                    1     15,648 K
taskhostw.exe                18268 Console                    1     17,764 K
chrome.exe                    3140 Console                    1    170,504 K
chrome.exe                    1488 Console                    1     59,392 K
Code.exe                     17580 Console                    1     50,520 K
svchost.exe                  17540 Services                   0      7,136 K
chrome.exe                   17928 Console                    1     64,148 K
chrome.exe                   18792 Console                    1    520,552 K
cmd.exe                      14192 Console                    1     22,376 K
conhost.exe                  11980 Console                    1     10,784 K
svchost.exe                  14880 Services                   0      7,816 K
svchost.exe                  10800 Services                   0     12,152 K
GameBar.exe                  20004 Console                    1     71,436 K
svchost.exe                  20492 Console                    1     28,288 K
GameBarFTServer.exe          20508 Console                    1     16,196 K
RuntimeBroker.exe            20540 Console                    1     21,616 K
svchost.exe                  20888 Services                   0      9,312 K
chrome.exe                   20776 Console                    1     15,720 K
svchost.exe                  21200 Services                   0      7,296 K
chrome.exe                    7520 Console                    1    177,948 K
opera.exe                    11016 Console                    1     47,092 K
audiodg.exe                  19940 Services                   0     17,728 K
chrome.exe                   19860 Console                    1    250,788 K
aswEngSrv.exe                19460 Services                   0     49,264 K
chrome.exe                   16224 Console                    1     72,896 K
chrome.exe                   20408 Console                    1    124,344 K
dllhost.exe                   6652 Console                    1      8,648 K
FileCoAuth.exe               20464 Console                    1     24,596 K
cmd.exe                      17436 Console                    1      4,492 K
conhost.exe                  19560 Console                    1     10,728 K
tasklist.exe                 17720 Console                    1     10,852 K
WmiPrvSE.exe                 20280 Services                   0     10,924 K
